Glacier,R² Weighted,R² Unweighted,Slope Weighted,Slope Unweighted,Intercept Weighted,Intercept Unweighted
Dyh-Cu,0.799,0.769,-2109.21,-2086.5,4053.87,4046.06
Dyh-Cu,0.799,0.769,-2109.21,-2086.5,4053.87,4046.06
Agashtan,0.674,0.663,-1408.98,-1403.64,3752.93,3759.07
Agashtan,0.674,0.663,-1408.98,-1403.64,3752.93,3759.07
Lekziri,0.672,0.601,-1929.53,-1805.68,3943.85,3893.31
Lekziri,0.672,0.601,-1929.53,-1805.68,3943.85,3893.31
Karaugom,0.605,0.53,-2391.67,-2224.67,4699.92,4638.61
Karaugom,0.605,0.53,-2391.67,-2224.67,4699.92,4638.61
Bezengi,0.564,0.466,-1773.67,-1629.48,3847.94,3795.18
Bezengi,0.564,0.466,-1773.67,-1629.48,3847.94,3795.18
Caneri,0.486,0.364,-2133.72,-1877.43,3972.22,3901.42
Caneri,0.486,0.364,-2133.72,-1877.43,3972.22,3901.42
Ulluchiran,0.076,0.014,-1259.39,-538.7,4475.82,4188.29
Ulluchiran,0.076,0.014,-1259.39,-538.7,4475.82,4188.29
